epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.158,0.98577,1.02171,1.20717,0.73355,0.77939,0.81478,0.65085,0.81333,0.64099,1.00799,1.785e-05,1.785e-05,1.785e-05
2,421.398,1.05607,1.05873,1.22925,0.84455,0.75231,0.84185,0.66617,0.82363,0.66946,1.00848,3.61596e-05,3.61596e-05,3.61596e-05
3,629.142,1.03295,0.97997,1.19375,0.84562,0.75259,0.83905,0.66793,0.82398,0.6759,1.00676,5.37152e-05,5.37152e-05,5.37152e-05
4,839.685,0.95271,0.92238,1.1592,0.83306,0.76792,0.85001,0.67946,0.82395,0.63391,1.00583,7.05168e-05,7.05168e-05,7.05168e-05
5,1048.09,0.98561,0.91357,1.16536,0.87269,0.76513,0.8587,0.69046,0.81085,0.60446,1.00001,8.65644e-05,8.65644e-05,8.65644e-05
6,1255.46,0.96689,0.8675,1.13631,0.81632,0.79513,0.85679,0.68672,0.81208,0.62116,1.00099,0.000101858,0.000101858,0.000101858
7,1463.6,0.88687,0.78528,1.10794,0.86099,0.76726,0.8646,0.68879,0.79968,0.60902,0.99654,0.000104863,0.000104863,0.000104863
8,1672.37,0.93843,0.88009,1.14184,0.87639,0.77123,0.87716,0.70933,0.78162,0.57319,0.98772,0.000102507,0.000102507,0.000102507
9,1881.06,0.96599,0.86429,1.15359,0.82379,0.80252,0.8728,0.70288,0.7838,0.57882,0.98695,0.00010015,0.00010015,0.00010015
10,2093.89,0.95613,0.85698,1.16452,0.82204,0.81391,0.88018,0.71025,0.78126,0.57511,0.9872,9.77942e-05,9.77942e-05,9.77942e-05
11,2305.39,0.91538,0.78723,1.10659,0.86609,0.80675,0.88726,0.72157,0.77298,0.58077,0.98725,9.5438e-05,9.5438e-05,9.5438e-05
12,2512.62,0.9028,0.78135,1.12635,0.89793,0.80292,0.88127,0.73179,0.7461,0.54715,0.97639,9.30818e-05,9.30818e-05,9.30818e-05
13,2721.08,0.89488,0.74975,1.10998,0.90246,0.79738,0.88831,0.73456,0.73125,0.53275,0.96894,9.07256e-05,9.07256e-05,9.07256e-05
14,2932.24,0.8889,0.73473,1.08632,0.8975,0.80265,0.88659,0.74568,0.71465,0.50612,0.95894,8.83694e-05,8.83694e-05,8.83694e-05
