epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.127,0.46579,1.1449,1.09169,0.95952,0.99686,0.99354,0.52612,0.59619,2.31553,2.02726,0.00046,0.00046,0.00046
2,184.326,0.47889,0.75756,1.0884,0.02776,0.21069,0.01601,0.00519,1.64045,149.666,88.4968,0.000921388,0.000921388,0.000921388
3,309.387,0.45297,0.75046,1.09199,0,0,0,0,1.26755,8.784,53.1508,0.00136377,0.00136377,0.00136377
4,400.981,0.4808,0.73924,1.13075,0.04247,0.41195,0.02574,0.00486,1.34853,98.342,16.8381,0.00178714,0.00178714,0.00178714
5,517.939,0.45401,0.67355,1.09523,0.48395,0.46855,0.39393,0.15888,0.56458,5.69673,1.88878,0.0018416,0.0018416,0.0018416
6,632.687,0.45035,0.65945,1.08176,0.82411,0.85455,0.85001,0.46697,0.5507,2.82484,1.31743,0.001802,0.001802,0.001802
7,716.413,0.42651,0.62136,1.05397,0.5257,0.81132,0.59786,0.30167,0.67516,1.68212,1.88653,0.0017624,0.0017624,0.0017624
8,65.3011,0.51955,0.90955,1.36702,0.00142,0.01258,0.00112,0.00025,0.36061,433346,4163.49,0.0017228,0.0017228,0.0017228
9,126.589,0.44692,0.61988,1.11005,0,0,0,0,0.81263,163.638,15.4645,0.0016832,0.0016832,0.0016832
10,204.554,0.41391,0.5642,1.19795,0.24234,0.37316,0.19648,0.05138,1.24318,3.31982,7.03538,0.0016436,0.0016436,0.0016436
11,279.406,0.42038,0.5642,1.07336,0.82989,0.49686,0.54936,0.37403,0.67816,2.10842,1.65969,0.001604,0.001604,0.001604
12,410.864,0.40532,0.53354,1.06415,0.72528,0.56455,0.57654,0.33703,0.70841,1.4908,1.60382,0.0015644,0.0015644,0.0015644
13,490.583,0.40383,0.52545,1.04755,0.90467,0.89524,0.93476,0.62713,0.47332,0.7757,1.05367,0.0015248,0.0015248,0.0015248
14,584.464,0.40935,0.5211,1.04915,0.98346,0.99371,0.99119,0.70275,0.39911,0.57926,0.89956,0.0014852,0.0014852,0.0014852
15,646.365,0.39944,0.49127,1.04111,0.96014,0.82075,0.92916,0.61966,0.43944,0.86638,0.99532,0.0014456,0.0014456,0.0014456
16,752.602,0.40747,0.5031,1.03919,0.99374,0.99686,0.99242,0.7161,0.38382,0.71663,0.8861,0.001406,0.001406,0.001406
17,818.519,0.40225,0.49718,1.03872,0.98444,0.99686,0.99216,0.73804,0.37598,0.68837,0.86771,0.0013664,0.0013664,0.0013664
18,974.762,0.39574,0.47474,1.0334,0.9933,0.99686,0.99258,0.74855,0.36435,0.51689,0.88143,0.0013268,0.0013268,0.0013268
19,1055.4,0.39055,0.47961,1.02521,0.99686,0.99677,0.99437,0.73623,0.37991,0.57183,0.90224,0.0012872,0.0012872,0.0012872
20,1127.74,0.39083,0.45505,1.02753,0.99641,0.99686,0.99226,0.75253,0.38215,0.47828,0.89041,0.0012476,0.0012476,0.0012476
21,1255.59,0.3903,0.48433,1.06575,0.98418,0.99371,0.99156,0.73242,0.3701,0.57211,0.88316,0.001208,0.001208,0.001208
22,1358.61,0.3831,0.46103,1.03215,0.98385,0.99686,0.99129,0.72631,0.38337,0.6373,0.87345,0.0011684,0.0011684,0.0011684
23,1458.89,0.39216,0.44968,1.02373,0.99617,0.99686,0.99302,0.75232,0.36484,0.45822,0.85024,0.0011288,0.0011288,0.0011288
24,1551.64,0.38582,0.45502,1.01591,0.99513,0.99686,0.99289,0.75642,0.36158,0.48176,0.86039,0.0010892,0.0010892,0.0010892
25,1619.31,0.37926,0.42934,1.00494,0.99628,0.99686,0.99261,0.75121,0.37797,0.48756,0.85116,0.0010496,0.0010496,0.0010496
26,1709.79,0.37896,0.44594,1.02034,0.99601,0.99686,0.99214,0.75204,0.36729,0.42765,0.86714,0.00101,0.00101,0.00101
27,1780.8,0.37525,0.43056,0.99973,0.99606,0.99686,0.9927,0.75689,0.36649,0.46742,0.86134,0.0009704,0.0009704,0.0009704
28,1852.53,0.39132,0.43734,1.01911,0.98723,0.99686,0.99009,0.73917,0.37482,0.50566,0.86102,0.0009308,0.0009308,0.0009308
29,1927.12,0.36688,0.41778,1.00944,0.99642,0.99686,0.99355,0.74123,0.37114,0.42327,0.8594,0.0008912,0.0008912,0.0008912
30,1995.28,0.37041,0.40598,0.99623,0.99641,0.99686,0.99478,0.75912,0.36001,0.41784,0.85373,0.0008516,0.0008516,0.0008516
31,2073.64,0.36794,0.40555,0.99828,0.99636,0.99686,0.99321,0.74005,0.36551,0.42464,0.85415,0.000812,0.000812,0.000812
32,2141.21,0.37759,0.42773,1.014,0.99611,0.99686,0.99208,0.74586,0.36229,0.44,0.84721,0.0007724,0.0007724,0.0007724
33,2222.17,0.3792,0.41509,1.00654,0.99657,0.99686,0.99267,0.75843,0.36633,0.40812,0.85304,0.0007328,0.0007328,0.0007328
34,2293.6,0.37182,0.41137,1.00389,0.99604,0.99686,0.99415,0.75905,0.36091,0.41715,0.84468,0.0006932,0.0006932,0.0006932
35,2406.77,0.37986,0.39725,1.0017,0.99571,0.99686,0.99374,0.76125,0.36269,0.38975,0.84415,0.0006536,0.0006536,0.0006536
